0x700000 kSramChecksum
0x7e00b5 reg_BG2HOFS
0x7e00b7 reg_BG2VOFS
0x7e00b9 reg_BG3HOFS
0x7e00bb reg_BG3VOFS
0x7e00bd reg_BG4HOFS
0x7e00bf reg_BG4VOFS
0x7e00c2 bug_fix_counter
0x7e00d0 vram_write_queue
0x7e02d0 mode7_write_queue
0x7e0330 vram_write_queue_tail
0x7e0334 mode7_vram_write_queue_tail
0x7e0340 vram_read_queue
0x7e0360 vram_read_queue_tail
0x7e0370 oam_ent
0x7e0570 oam_ext
0x7e0590 oam_next_ptr
0x7e0592 power_bomb_explosion_status
0x7e059a set_to_e0_by_scrolling_sky
0x7e059c UNUSED_word_7E059C
0x7e05a0 UNUSED_hdma_contracting_flag
0x7e05a2 message_box_animation_y_radius
0x7e05a4 message_box_animation_y0
0x7e05a6 message_box_animation_y1
0x7e05a8 message_box_animation_y2
0x7e05aa message_box_animation_y3
0x7e05ac map_min_x_scroll
0x7e05ae map_max_x_scroll
0x7e05b0 map_min_y_scroll
0x7e05b2 map_max_y_scroll
0x7e05b4 waiting_for_nmi
0x7e05b5 nmi_frame_counter_byte
0x7e05b6 nmi_frame_counter_word
0x7e05b8 nmi_frame_counter_including_lag
0x7e05ba nmi_frames_missed
0x7e05bb nmi_frames_missed_max
0x7e05bc door_transition_vram_update_enabled
0x7e05be door_transition_vram_update_dst
0x7e05c0 door_transition_vram_update_src
0x7e05c3 door_transition_vram_update_size
0x7e05c5 joypad_dbg_1
0x7e05c7 joypad_dbg_2
0x7e05c9 joypad_dbg_missiles_swap
0x7e05cb joypad_dbg_super_missiles_swap
0x7e05cd joypad_dbg_power_bombs_swap
0x7e05cf joypad_dbg_flags
0x7e05d1 enable_debug
0x7e05d3 debug_saveload_scrollpos_toggle
0x7e05d5 debug_saved_xscroll
0x7e05d7 debug_saved_yscroll
0x7e05d9 joypad_released_keys
0x7e05db timed_held_input_timer
0x7e05dd timed_held_input_timer_reset
0x7e05df timed_held_input
0x7e05e1 newly_held_down_timed_held_input
0x7e05e3 previous_timed_held_input
0x7e05e5 random_number
0x7e05e7 bitmask
0x7e05e9 mult_tmp_a
0x7e05eb mult_tmp_y
0x7e05f1 mult_product_lo
0x7e05f3 mult_product_hi
0x7e05f5 debug_disable_sounds
0x7e05f7 debug_disable_minimap
0x7e05f9 save_confirmation_selection
0x7e05fb map_scrolling_gear_switch_timer
0x7e05fd map_scrolling_direction
0x7e05ff map_scrolling_speed_index
0x7e0601 pause_hook
0x7e0604 unpause_hook
0x7e0607 earthquake_sfx_index
0x7e0609 earthquake_sfx_timer
0x7e060b enemy_projectile_init_param_2
0x7e060d remaining_enemy_hitbox_entries
0x7e060f num_projectiles_to_check_enemy_coll
0x7e0611 coroutine_state_0
0x7e0612 coroutine_state_1
0x7e0613 coroutine_state_2
0x7e0614 coroutine_state_3
0x7e0615 coroutine_state_4
0x7e0616 coroutine_state_5
0x7e0617 is_uploading_apu
0x7e0619 music_queue_track
0x7e0629 music_queue_delay
0x7e0639 music_queue_write_pos
0x7e063b music_queue_read_pos
0x7e063d music_entry
0x7e063f music_timer
0x7e0641 apu_attempts_countdown
0x7e0643 sfx_readpos
0x7e0646 sfx_writepos
0x7e0649 sfx_state
0x7e064c cur_music_track
0x7e064d sfx_cur
0x7e0650 sfx_clear_delay
0x7e0653 sfx_max_queued
0x7e0656 sfx1_queue
0x7e0666 sfx2_queue
0x7e0676 sfx3_queue
0x7e0686 sound_handler_downtime
0x7e0688 croco_target_0688
0x7e068c croco_word_068C
0x7e0690 croco_cur_vline_idx
0x7e069c croco_vline_height
0x7e071c UNUSED_byte_7E071C
0x7e071d nmi_copy_samus_halves
0x7e071f nmi_copy_samus_top_half_src
0x7e0721 nmi_copy_samus_bottom_half_src
0x7e0723 screen_fade_delay
0x7e0725 screen_fade_counter
0x7e0727 menu_index
0x7e0729 pausemenu_start_lr_pressed_highlight_timer
0x7e072b pausemenu_lr_animation_timer
0x7e072d pausemenu_item_selector_animation_timer
0x7e072f pausemenu_reserve_tank_animation_timer
0x7e0731 UNUSED_word_7E0731
0x7e0733 pausemenu_uparrow_animation_timer
0x7e0735 pausemenu_downarrow_animation_timer
0x7e0737 pausemenu_rightarrow_animation_timer
0x7e0739 pausemenu_leftarrow_animation_timer
0x7e073b pausemenu_palette_animation_timer
0x7e073d UNUSED_word_7E073D
0x7e073f pausemenu_lr_animation_frame
0x7e0741 pausemenu_item_selector_animation_frame
0x7e0743 pausemenu_reserve_tank_animation_frame
0x7e0745 UNUSED_word_7E0745
0x7e0747 pausemenu_uparrow_animation_frame
0x7e0749 pausemenu_downarrow_animation_frame
0x7e074b pausemenu_rightarrow_animation_frame
0x7e074d pausemenu_leftarrow_animation_frame
0x7e074f pausemenu_palette_animation_frame
0x7e0751 pausemenu_shoulder_button_highlight
0x7e0753 pausemenu_button_label_mode
0x7e0755 pausemenu_equipment_category_item
0x7e0757 pausemenu_reserve_tank_delay_ctr
0x7e0759 UNUSED_word_7E0759
0x7e075b UNUSED_word_7E075B
0x7e075d UNUSED_word_7E075D
0x7e075f UNUSED_word_7E075F
0x7e0761 UNUSED_word_7E0761
0x7e0763 pause_screen_mode
0x7e0765 pausemenu_bak_BG1SC
0x7e0766 pausemenu_bak_BG2SC
0x7e0767 pausemenu_bak_BG3SC
0x7e0768 pausemenu_bak_BG12NBA
0x7e0769 pausemenu_bak_BG34NBA
0x7e076a pausemenu_bak_OBSEL
0x7e076b pausemenu_bak_BG1HOFS
0x7e076c pausemenu_bak_BG2HOFS
0x7e076d pausemenu_bak_BG3HOFS
0x7e076e pausemenu_bak_BG1VOFS
0x7e076f pausemenu_bak_BG2VOFS
0x7e0770 pausemenu_bak_BG3VOFS
0x7e0771 pausemenu_bak_BGMODE
0x7e0772 pausemenu_bak_layer2_scroll_x
0x7e0773 pausemenu_bak_layer2_scroll_y
0x7e0774 pausemenu_bak_MOSAIC
0x7e0775 pausemenu_bak_CGADSUB
0x7e0776 samus_position_indicator_animation_frame
0x7e0778 samus_position_indicator_animation_timer
0x7e077a samus_position_indicator_animation_loop_counter
0x7e077c hud_item_tilemap_palette_bits
0x7e077e my_counter
0x7e0780 my_counter2
0x7e0782 coroutine_completion_flags
0x7e0783 irq_enable_mode7
0x7e0785 mode7_rotation_angle
0x7e0789 has_area_map
0x7e078b load_station_index
0x7e078d door_def_ptr
0x7e078f door_bts
0x7e0791 door_direction
0x7e0793 elevator_door_properties_orientation
0x7e0795 door_transition_flag_elevator_zebetites
0x7e0797 door_transition_flag_enemies
0x7e0799 elevator_direction
0x7e079b room_ptr
0x7e079d room_index
0x7e079f area_index
0x7e07a1 room_x_coordinate_on_map
0x7e07a3 room_y_coordinate_on_map
0x7e07a5 room_width_in_blocks
0x7e07a7 room_height_in_blocks
0x7e07a9 room_width_in_scrolls
0x7e07ab room_height_in_scrolls
0x7e07ad up_scroller
0x7e07af down_scroller
0x7e07b1 previous_cre_bitset
0x7e07b3 cre_bitset
0x7e07b5 door_list_pointer
0x7e07b7 event_pointer
0x7e07b9 room_size_in_blocks
0x7e07bb roomdefroomstate_ptr
0x7e07bd room_compr_level_data_ptr
0x7e07c0 tileset_tile_table_pointer
0x7e07c3 tileset_tiles_pointer
0x7e07c6 tileset_compr_palette_ptr
0x7e07c9 room_music_track_index
0x7e07cb room_music_data_index
0x7e07cd room_layer3_asm_ptr
0x7e07cf room_enemy_population_ptr
0x7e07d1 room_enemy_tilesets_ptr
0x7e07df room_main_code_ptr
0x7e07e1 room_main_asm_variables
0x7e07e9 scrolling_finished_hook
0x7e07eb hdma_data_table_in_ceres
0x7e07f3 music_data_index
0x7e07f5 music_track_index
0x7e07f7 map_tiles_explored
0x7e08f7 layer1_x_block
0x7e08f9 layer1_y_block
0x7e08fb layer2_x_block
0x7e08fd layer2_y_block
0x7e08ff previous_layer1_x_block
0x7e0901 previous_layer1_y_block
0x7e0903 previous_layer2_x_block
0x7e0905 previous_layer2_y_block
0x7e0907 bg1_x_block
0x7e0909 bg1_y_block
0x7e090b bg2_x_block
0x7e090d bg2_y_block
0x7e090f layer1_x_subpos
0x7e0911 layer1_x_pos
0x7e0913 layer1_y_subpos
0x7e0915 layer1_y_pos
0x7e0917 layer2_x_pos
0x7e0919 layer2_y_pos
0x7e091b layer2_scroll_x
0x7e091c layer2_scroll_y
0x7e091d bg1_x_offset
0x7e091f bg1_y_offset
0x7e0921 bg2_x_scroll
0x7e0923 bg2_y_scroll
0x7e0925 door_transition_frame_counter
0x7e0927 door_destination_x_pos
0x7e0929 door_destination_y_pos
0x7e092b samus_door_transition_subspeed
0x7e092d samus_door_transition_speed
0x7e092f downwards_elevator_delay_timer
0x7e0931 door_transition_flag
0x7e0933 temp933
0x7e0935 x_block_of_vram_blocks_to_update
0x7e0937 tmp_vram_base_addr
0x7e0939 var939
0x7e093b tmp_block_to_update
0x7e093f ceres_status
0x7e0941 camera_distance_index
0x7e0943 timer_status
0x7e0945 timer_centiseconds
0x7e0946 timer_seconds
0x7e0947 timer_minutes
0x7e0948 timer_x_pos
0x7e094a timer_y_pos
0x7e0950 file_select_map_area_index
0x7e0952 selected_save_slot
0x7e0954 nonempty_save_slots
0x7e0956 bg1_update_col_unwrapped_size
0x7e0958 bg1_update_col_wrapped_size
0x7e095a bg1_update_col_unwrapped_dst
0x7e095c bg1_update_col_wrapped_dst
0x7e095e bg1_update_col_wrapped_left_src
0x7e0960 bg1_update_col_wrapped_right_src
0x7e0962 bg1_update_col_enable
0x7e0964 bg1_update_row_unwrapped_size
0x7e0966 bg1_update_row_wrapped_size
0x7e0968 bg1_update_row_unwrapped_dst
0x7e096a bg1_update_row_wrapped_dst
0x7e096c bg1_update_row_wrapped_top_src
0x7e096e bg1_update_row_wrapped_bottom_src
0x7e0970 bg1_update_row_enable
0x7e0972 bg2_update_col_unwrapped_size
0x7e0974 bg2_update_col_wrapped_size
0x7e0976 bg2_update_col_unwrapped_dst
0x7e0978 bg2_update_col_wrapped_dst
0x7e097a bg2_update_col_wrapped_left_src
0x7e097c bg2_update_col_wrapped_right_src
0x7e097e bg2_update_col_enable
0x7e0980 bg2_update_row_unwrapped_size
0x7e0982 bg2_update_row_wrapped_size
0x7e0984 bg2_update_row_unwrapped_dst
0x7e0986 bg2_update_row_wrapped_dst
0x7e0988 bg2_update_row_wrapped_top_src
0x7e098a bg2_update_row_wrapped_bottom_src
0x7e098c bg2_update_row_enable
0x7e098e size_of_bg2
0x7e0990 blocks_to_update_x_block
0x7e0992 blocks_to_update_y_block
0x7e0994 vram_blocks_to_update_x_block
0x7e0996 vram_blocks_to_update_y_block
0x7e0998 game_state
0x7e099c door_transition_function
0x7e099e menu_option_index
0x7e09a2 equipped_items
0x7e09a4 collected_items
0x7e09a6 equipped_beams
0x7e09a8 collected_beams
0x7e09aa button_config_up
0x7e09ac button_config_down
0x7e09ae button_config_left
0x7e09b0 button_config_right
0x7e09b2 button_config_shoot_x
0x7e09b4 button_config_jump_a
0x7e09b6 button_config_run_b
0x7e09b8 button_config_itemcancel_y
0x7e09ba button_config_itemswitch
0x7e09bc button_config_aim_down_L
0x7e09be button_config_aim_up_R
0x7e09c0 reserve_health_mode
0x7e09c2 samus_health
0x7e09c4 samus_max_health
0x7e09c6 samus_missiles
0x7e09c8 samus_max_missiles
0x7e09ca samus_super_missiles
0x7e09cc samus_max_super_missiles
0x7e09ce samus_power_bombs
0x7e09d0 samus_max_power_bombs
0x7e09d2 hud_item_index
0x7e09d4 samus_max_reserve_health
0x7e09d6 samus_reserve_health
0x7e09d8 samus_reserve_missiles
0x7e09da game_time_frames
0x7e09dc game_time_seconds
0x7e09de game_time_minutes
0x7e09e0 game_time_hours
0x7e09e2 japanese_text_flag
0x7e09e4 moonwalk_flag
0x7e09e6 debug_flag
0x7e09e8 UNUSED_word_7E09E8
0x7e09ea hud_auto_cancel_flag
0x7e0a04 samus_auto_cancel_hud_item_index
0x7e0a06 samus_prev_health
0x7e0a08 samus_prev_missiles
0x7e0a0a samus_prev_super_missiles
0x7e0a0c samus_prev_power_bombs
0x7e0a0e samus_prev_hud_item_index
0x7e0a10 UNUSED_unk_7E0A10
0x7e0a11 samus_prev_movement_type
0x7e0a12 samus_prev_health_for_flash
0x7e0a14 controller1_input_for_demo
0x7e0a16 controller1_new_input_for_demo
0x7e0a18 UNUSED_word_7E0A18
0x7e0a1c samus_pose
0x7e0a1e samus_pose_x_dir
0x7e0a1f samus_movement_type
0x7e0a20 samus_prev_pose
0x7e0a22 samus_prev_pose_x_dir
0x7e0a23 samus_prev_movement_type2
0x7e0a24 samus_last_different_pose
0x7e0a26 samus_last_different_pose_x_dir
0x7e0a27 samus_last_different_pose_movement_type
0x7e0a28 samus_new_pose
0x7e0a2a samus_new_pose_interrupted
0x7e0a2c samus_new_pose_transitional
0x7e0a2e samus_momentum_routine_index
0x7e0a30 samus_special_transgfx_index
0x7e0a32 samus_hurt_switch_index
0x7e0a34 solid_enemy_collision_flags
0x7e0a36 block_collision_flags
0x7e0a38 samus_space_to_move_up_blocks
0x7e0a3a samus_y_radius_diff
0x7e0a3c samus_space_to_move_down_blocks
0x7e0a3e samus_space_to_move_up_enemy
0x7e0a40 samus_space_to_move_down_enemy
0x7e0a42 frame_handler_alfa
0x7e0a44 frame_handler_beta
0x7e0a46 enable_horiz_slope_coll
0x7e0a48 samus_hurt_flash_counter
0x7e0a4a samus_special_super_palette_flags
0x7e0a4c samus_subunit_health
0x7e0a4e samus_periodic_subdamage
0x7e0a50 samus_periodic_damage
0x7e0a52 knockback_dir
0x7e0a54 knockback_x_dir
0x7e0a56 bomb_jump_dir
0x7e0a58 samus_movement_handler
0x7e0a5a frame_handler_gamma
0x7e0a5c samus_draw_handler
0x7e0a5e UNUSED_word_7E0A5E
0x7e0a60 samus_input_handler
0x7e0a62 samus_var62
0x7e0a64 samus_grapple_flags
0x7e0a66 samus_x_speed_divisor
0x7e0a68 samus_shine_timer
0x7e0a6a samus_health_warning
0x7e0a6c samus_x_speed_table_pointer
0x7e0a6e samus_contact_damage_index
0x7e0a72 samus_visor_palette_timer_index
0x7e0a74 samus_suit_palette_index
0x7e0a76 hyper_beam_flag
0x7e0a78 time_is_frozen_flag
0x7e0a7a demo_input_pre_instr
0x7e0a7c demo_input_instr_timer
0x7e0a7e demo_input_instr_ptr
0x7e0a80 demo_timer_counter
0x7e0a82 xray_angle
0x7e0a84 demo_input
0x7e0a86 demo_input_new
0x7e0a88 demo_enable
0x7e0a8a demo_num_input_frames
0x7e0a8c demo_input_prev
0x7e0a8e demo_input_prev_new
0x7e0a90 demo_backup_prev_controller_input
0x7e0a92 demo_backup_prev_controller_input_new
0x7e0a94 samus_anim_frame_timer
0x7e0a96 samus_anim_frame
0x7e0a9a samus_anim_frame_skip
0x7e0a9c samus_anim_frame_buffer
0x7e0a9e grapple_walljump_timer
0x7e0aa0 reached_ceres_elevator_fade_timer
0x7e0aa2 timer_for_shinesparks_startstop
0x7e0aa4 UNUSEDword_7E0AA4
0x7e0aa6 flag_arm_cannon_open_or_opening
0x7e0aa7 flag_arm_cannon_opening_or_closing
0x7e0aa8 arm_cannon_frame
0x7e0aaa hud_item_changed_this_frame
0x7e0aac arm_cannon_drawing_mode
0x7e0aae speed_echoes_index
0x7e0ab0 speed_echo_xpos
0x7e0ab8 speed_echo_ypos
0x7e0ac0 speed_echo_xspeed
0x7e0ac8 samus_top_half_spritemap_index
0x7e0aca samus_bottom_half_spritemap_index
0x7e0acc timer_for_shine_timer
0x7e0ace special_samus_palette_frame
0x7e0ad0 special_samus_palette_timer
0x7e0ad2 liquid_physics_type
0x7e0ad4 atmospheric_gfx_anim_timer
0x7e0adc atmospheric_gfx_x_pos
0x7e0ae4 atmospheric_gfx_y_pos
0x7e0aec atmospheric_gfx_frame_and_type
0x7e0af4 autojump_timer
0x7e0af6 samus_x_pos
0x7e0af8 samus_x_subpos
0x7e0afa samus_y_pos
0x7e0afc samus_y_subpos
0x7e0afe samus_x_radius
0x7e0b00 samus_y_radius
0x7e0b02 samus_collision_direction
0x7e0b04 samus_spritemap_x_pos
0x7e0b06 samus_spritemap_y_pos
0x7e0b0a ideal_layer1_xpos
0x7e0b0e ideal_layer1_ypos
0x7e0b10 samus_prev_x_pos
0x7e0b12 samus_prev_x_subpos
0x7e0b14 samus_prev_y_pos
0x7e0b16 samus_prev_y_subpos
0x7e0b18 charged_shot_glow_timer
0x7e0b1a UNUSED_word_7E0B1A
0x7e0b20 used_for_ball_bounce_on_landing
0x7e0b22 samus_is_falling_flag
0x7e0b24 tempB24
0x7e0b26 tempB26
0x7e0b2a UNUSED_word_7E0B2A
0x7e0b2c samus_y_subspeed
0x7e0b2e samus_y_speed
0x7e0b32 samus_y_subaccel
0x7e0b34 samus_y_accel
0x7e0b36 samus_y_dir
0x7e0b38 UNUSED_word_7E0B38
0x7e0b3c samus_has_momentum_flag
0x7e0b3e speed_boost_counter
0x7e0b40 samus_echoes_sound_flag
0x7e0b42 samus_x_extra_run_speed
0x7e0b44 samus_x_extra_run_subspeed
0x7e0b46 samus_x_base_speed
0x7e0b48 samus_x_base_subspeed
0x7e0b4a samus_x_accel_mode
0x7e0b4c samus_x_decel_mult
0x7e0b56 extra_samus_x_subdisplacement
0x7e0b58 extra_samus_x_displacement
0x7e0b5a extra_samus_y_subdisplacement
0x7e0b5c extra_samus_y_displacement
0x7e0b5e new_projectile_direction_changed_pose
0x7e0b60 used_for_sba_attacksB60
0x7e0b62 samus_charge_palette_index
0x7e0b64 projectile_x_pos
0x7e0b78 projectile_y_pos
0x7e0b8c projectile_bomb_x_subpos
0x7e0ba0 projectile_bomb_y_subpos
0x7e0bb4 projectile_x_radius
0x7e0bc8 projectile_y_radius
0x7e0bdc projectile_bomb_x_speed
0x7e0bf0 projectile_bomb_y_speed
0x7e0c04 projectile_dir
0x7e0c18 projectile_type
0x7e0c2c projectile_damage
0x7e0c40 projectile_bomb_instruction_ptr
0x7e0c54 projectile_bomb_instruction_timers
0x7e0c68 projectile_bomb_pre_instructions
0x7e0c72 bomb_functions
0x7e0c7c projectile_variables
0x7e0c86 bomb_timers
0x7e0c90 projectile_timers
0x7e0c9a bomb_subspeeds
0x7e0ca4 projectile_unk_A
0x7e0cb8 projectile_spritemap_pointers
0x7e0ccc cooldown_timer
0x7e0cce projectile_counter
0x7e0cd0 flare_counter
0x7e0cd2 bomb_counter
0x7e0cd4 bomb_spread_charge_timeout_counter
0x7e0cd6 flare_animation_frame
0x7e0cd8 flare_slow_sparks_anim_frame
0x7e0cda flare_fast_sparks_anim_frame
0x7e0cdc flare_animation_timer
0x7e0cde flare_slow_sparks_anim_timer
0x7e0ce0 flare_fast_sparks_anim_timer
0x7e0ce2 power_bomb_explosion_x_pos
0x7e0ce4 power_bomb_explosion_y_pos
0x7e0ce6 power_bomb_explosion_x_pos_plus_0x100
0x7e0ce8 power_bomb_explosion_y_pos_rsub_0x1ff
0x7e0cea power_bomb_explosion_radius
0x7e0cec power_bomb_pre_explosion_flash_radius
0x7e0cee power_bomb_flag
0x7e0cf0 power_bomb_pre_explosion_radius_speed
0x7e0cf2 pre_scaled_power_bomb_explosion_shape_def_ptr
0x7e0cf4 grapple_beam_flags
0x7e0cf6 grapple_varCF6
0x7e0cf8 slow_grabble_scrolling_flag
0x7e0cfa grapple_beam_end_subangle
0x7e0cfb grapple_beam_end_angle
0x7e0cfc grapple_beam_end_angles_mirror
0x7e0cfe grapple_beam_length
0x7e0d00 grapple_beam_length_delta
0x7e0d02 grapple_beam_origin_x_offset
0x7e0d04 grapple_beam_origin_y_offset
0x7e0d06 grapple_beam_end_x_subpos
0x7e0d08 grapple_beam_end_x_pos
0x7e0d0a grapple_beam_end_y_subpos
0x7e0d0c grapple_beam_end_y_pos
0x7e0d0e grapple_beam_end_x_suboffset
0x7e0d10 grapple_beam_end_x_offset
0x7e0d12 grapple_beam_end_y_suboffset
0x7e0d14 grapple_beam_end_y_offset
0x7e0d16 x_pos_of_start_of_grapple_beam
0x7e0d18 y_pos_of_start_of_grapple_beam
0x7e0d1a x_pos_of_start_of_grapple_beam_prevframe
0x7e0d1c y_pos_of_start_of_grapple_beam_prevframe
0x7e0d1e grapple_beam_unkD1E
0x7e0d20 grapple_beam_unkD20
0x7e0d22 grapple_beam_extension_x_velocity
0x7e0d24 grapple_beam_extension_y_velocity
0x7e0d26 grapple_beam_unkD26
0x7e0d28 grapple_beam_unkD28
0x7e0d2a grapple_beam_unkD2A
0x7e0d2c grapple_beam_unkD2C
0x7e0d2e grapple_beam_unkD2E
0x7e0d30 grapple_beam_unkD30
0x7e0d32 grapple_beam_function
0x7e0d34 grapple_beam_direction
0x7e0d36 grapple_beam_unkD36
0x7e0d38 grapple_beam_unkD38
0x7e0d3a grapple_beam_unkD3A
0x7e0d3c grapple_beam_unkD3C
0x7e0d3e grapple_point_anim_timer
0x7e0d40 grapple_point_anim_ptr
0x7e0d42 grapple_segment_anim_instr_timers
0x7e0d62 grapple_segment_anim_instr_ptrs
0x7e0d82 grapple_beam_tmpD82
0x7e0d84 grapple_beam_tmpD84
0x7e0d86 grapple_beam_y_quarter_subvel
0x7e0d88 grapple_beam_y_quarter_vel
0x7e0d8a grapple_beam_tmpD8A
0x7e0d8c grapple_beam_varD8C
0x7e0d8e grapple_beam_varD8E
0x7e0d90 grapple_beam_grapple_start_x
0x7e0d92 grapple_beam_grapple_start_y
0x7e0d94 grapple_beam_grapple_start_block_x
0x7e0d96 grapple_beam_grapple_start_block_y
0x7e0da0 loop_counter_transfer_enemies_to_vram
0x7e0da2 absolute_moved_last_frame_x
0x7e0da4 absolute_moved_last_frame_x_fract
0x7e0da6 absolute_moved_last_frame_y
0x7e0da8 absolute_moved_last_frame_y_fract
0x7e0daa projectile_init_speed_samus_moved_left
0x7e0dac projectile_init_speed_samus_moved_left_fract
0x7e0dae projectile_init_speed_samus_moved_right
0x7e0db0 projectile_init_speed_samus_moved_right_fract
0x7e0db2 projectile_init_speed_samus_moved_up
0x7e0db4 projectile_init_speed_samus_moved_up_fract
0x7e0db6 projectile_init_speed_samus_moved_down
0x7e0db8 projectile_init_speed_samus_moved_down_fract
0x7e0dba samus_pos_adjusted_by_slope_flag
0x7e0dbc samus_total_x_speed
0x7e0dbe samus_total_x_subspeed
0x7e0dc0 play_resume_charging_beam_sfx
0x7e0dc2 prev_beam_charge_counter
0x7e0dc4 cur_block_index
0x7e0dc6 input_to_pose_calc
0x7e0dc8 queued_message_box_index
0x7e0dce samus_collides_with_solid_enemy
0x7e0dd0 samus_collision_flag
0x7e0dd2 temp_collision_DD2
0x7e0dd4 temp_collision_DD4
0x7e0dd6 temp_collision_DD6
0x7e0ddc suit_pickup_light_beam_widening_speed
0x7e0dde projectile_index
0x7e0de0 debug_invincibility
0x7e0de2 game_options_screen_index
0x7e0dea which_item_to_pickup
0x7e0dec substate
0x7e0dee suit_pickup_light_beam_pos
0x7e0df0 suit_pickup_color_math_R
0x7e0df1 suit_pickup_color_math_G
0x7e0df2 suit_pickup_color_math_B
0x7e0df3 suit_pickup_palette_transition_color
0x7e0df4 debug_spare_cpu_display_flag
0x7e0df8 UNUSED_word_7E0DF8
0x7e0dfa UNUSED_word_7E0DFA
0x7e0dfc UNUSED_word_7E0DFC
0x7e0dfe joypad1_input_samusfilter
0x7e0e00 joypad1_newinput_samusfilter
0x7e0e02 samus_bottom_boundary_position
0x7e0e04 distance_to_eject_samus_left
0x7e0e06 distance_to_eject_samus_right
0x7e0e08 distance_to_eject_samus_up
0x7e0e0a distance_to_eject_samus_down
0x7e0e12 debug_disable_sprite_interact
0x7e0e16 elevator_flags
0x7e0e18 elevator_status
0x7e0e1a health_drop_bias_flag
0x7e0e1c enemy_index_to_shake
0x7e0e1e nmi_flag_bg2_enemy_vram_transfer
0x7e0e20 varE20
0x7e0e22 varE22
0x7e0e24 varE24
0x7e0e26 varE26
0x7e0e28 varE28
0x7e0e2a varE2A
0x7e0e2c varE2C
0x7e0e2e varE2E
0x7e0e32 varE32
0x7e0e34 varE34
0x7e0e36 varE36
0x7e0e38 varE38
0x7e0e3a varE3A
0x7e0e3c varE3C
0x7e0e3e varE3E
0x7e0e40 varE40
0x7e0e44 varE44
0x7e0e46 UNUSED_word_7E0E46
0x7e0e48 UNUSED_word_7E0E48
0x7e0e4a new_enemy_index
0x7e0e4c first_free_enemy_index
0x7e0e4e num_enemies_in_room
0x7e0e50 num_enemies_killed_in_room
0x7e0e52 num_enemy_deaths_left_to_clear
0x7e0e54 cur_enemy_index
0x7e0e56 cur_enemy_index_backup
0x7e0e58 enemy_data_ptr
